
251	251	1,000000	0,333333		0,000000	0,000000	100,000000
230	282	1,226087	0,408696		89,565217	0,000000	30,869565
182	293	1,609890	0,536630		12,087912	39,560440	61,538462
186	258	1,387097	0,462366		53,225806	38,709677	46,774194
265	294	1,109434	0,369811		6,415094	9,811321	98,867925
212	303	1,429245	0,476415		58,962264	31,603774	75,471698
237	373	1,573840	0,524613		24,472574	48,101266	65,822785
210	317	1,509524	0,503175		34,285714	48,571429	47,142857
199	240	1,206030	0,402010		16,080402	44,723618	55,276382
182	276	1,516484	0,505495		27,472527	64,285714	26,923077
200	274	1,370000	0,456667		33,500000	34,500000	58,500000
